Chave;Summary;Status;Components;Sprint
PEFA-13398;{1FPAY} PATCH /accounts/{accountId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 6
PEFA-13103;{1FPAY} GET /statements/{statementId}/printed-statement;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 6
PEFA-13102;{1FPAY} GET /statements/accounts/{accountId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 6
PEFA-12293;{1FPAY} Lambda para consumo de eventos e orquestração;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 6
PEFA-10812;{1FPAY} GET /statements/files/statement/download - Gerar evento com informações para gerar arquivo de fatura;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 6
PEFA-13446;{1FPAY} GET /statements/{statementId}/bank-slip;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-13445;{1FPAY} (GET) API A SER DESENVOVIDA 1FPAY PROGRAM -Consultar contestações;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-13394;{1FPAY} GET v1/transactions/authorizations/accounts/{accountId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-13392;{1FPAY} GET /statements/{statementId}/cards;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-13373;{1FPAY} GET /statements/{statementId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-13345;{1FPAY} GET /accounts/{accountId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-12294;{1FPAY} Lambda para consumo de eventos e orquestração;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-10820;{1FPAY} GET /monetary/files/payments/upload;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-10816;{1FPAY} POST /statements/new-release-email;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 7
PEFA-13222;{1FPAY} GET /statements/{statementId}/statement-fees;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-12174;{1FPAY} GET /statements/{transactionId}/payment-amortization-details;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-10826;{1FPAY} PATCH /statements/{accountId}/statement-financing-offers/simulate/{statementFinancingOfferId} - Registrar as ofertas geradas como oficiais;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-10825;{1FPAY} POST /statements/{accountId}/statement-financing-offers/simulate - Criar ofertas de parcelamento;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-10823;{1FPAY} GET /statements/payments/{accountId} *API a ser criada - Recepção de microsserviço de consulta de pagamentos realizados;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-10817;{1FPAY} PATCH /statements/{bankSlipNumber};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-10813;{1FPAY} POST /statements/{statementId}/new-release;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 8
PEFA-13456;{1FPAY} POST /statements/{accountId}/statement-financing-offers/simulate;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 9
PEFA-12299;{1FPAY} Lambda para consumo de eventos e orquestração;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 9
PEFA-12297;{1FPAY} Lambda para consumo de eventos e orquestração;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 9
PEFA-12170;{1FPAY} GET /accounts/{accountId} - Microsserviço de consulta de status de cobrança da conta 1FPAY;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 9
PEFA-10833;{1FPAY} POST /statements/payment - Ativar parcelamento compulsório;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 9
PEFA-10818;{1FPAY} POST /statements/payment *API será publicada na V1 - Microsserviço de postagem de pagamento;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 9
PEFA-13449;{1FPAY} POST /v1/transactions/accounts/{accountId}/;New;Pismo;PEFA Monetary Sprint 10
PEFA-13448;{1FPAY} GET /programs/transaction-fee/{modelId};New;Pismo;PEFA Monetary Sprint 10
PEFA-13438;{1FPAY} API a ser desenvolvida 1FPAY (planilha para requerer processing code);New;Pismo;PEFA Monetary Sprint 10
PEFA-13437;{1FPAY} API a ser desenvolvida 1FPAY (consumir contador de boleto);New;Pismo;PEFA Monetary Sprint 10
PEFA-13407;{1FPAY} GET /accounts/{accountId}/transaction-fee/API A SER CRIADA PELA 1FPAY;New;Pismo;PEFA Monetary Sprint 10
PEFA-13404;{1FPAY} POST /statements/account/{accountId}/bank-slip;New;Pismo;PEFA Monetary Sprint 10
PEFA-12296;{1FPAY} Lambda para consumo de eventos e orquestração;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 10
PEFA-13455;{1FPAY} PATCH /statements/{accountId}/statement-financing-offers/simulate/{statementFinancingOfferId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 11
PEFA-13439;{1FPAY} GET /v1/party/{partyId};New;Pismo;PEFA Monetary Sprint 11
PEFA-13355;{1FPAY} GET /accounts/{accountId}/benefits;New;Integração;PEFA Monetary Sprint 11
PEFA-13353;{1FPAY} (GET) API A SER DESENVOVIDA 1FPAY PROGRAM -Consultar benefício 'dias de graça';New;Integração;PEFA Monetary Sprint 11
PEFA-13350;{1FPAY} GET /accounts/{accountId}/address/{adressId};New;Pismo;PEFA Monetary Sprint 11
PEFA-13349;{1FPAY} GET /statements/account/{accountId};New;Pismo;PEFA Monetary Sprint 11
PEFA-10827;{1FPAY} GET /statements/{statementId}/statement-financing-offers - Recepção de microsserviço 1FPAY;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 11
PEFA-10824;{1FPAY} GET /statements/{transactionId}/payment-amortization-details;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 11
PEFA-10822;{1FPAY} PATCH /statements/payments/{paymentId}/reversal *API a ser publicada na V1 - Requisição de microsserviço 1FPAY de estorno de pagamento de fatura;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 11
PEFA-10821;{1FPAY} GET /statements/payments/{accountId}/ *API a ser publicada na V1 - Atendente Frontend identifica o pagamento de fatura realizado;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 11
PEFA-13440;{1FPAY} GET /statements/{statementId}/financing-contracts/{statementFinancingContractId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-13359;{1FPAY} GET /statements/{accountId}/statement-financing-contracts;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-13358;{1FPAY} GET /statements/{statementId}/statement-financing-offers;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-13357;{1FPAY} GET /statements/account/{accountId};New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-12192;API a ser desenvolvida no domínio de Programas;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-10832;{1FPAY} GET /statements/{accountId}/statement-financing-contracts/{statementFinancingContractId} - Consultar detalhes do contrato de financiamento desejado;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-10831;{1FPAY} GET /statements/{accountId}/statement-financing-contracts - Consultar os contratos de parcelamento vinculados à conta;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-10830;{1FPAY} GET /statements/{statementId}/financing-offers/{statementFinancingOfferId} - Consultar detalhes das ofertas disponíveis para a fatura;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
PEFA-10828;{1FPAY} POST /statements/{accountId}/statement-financing-offers/simulate - Recepção de microsserviço 1FPAY;New;1FPay - Back-End \ Time 4;PEFA Monetary Sprint 12
